Date,Close,High,Low,Open,Volume
9/25/2019,5113.910645,5113.910645,4980.354427,5083.752789,88620000
9/26/2019,5221.617188,5221.617188,5144.068417,5169.918007,109859000
9/27/2019,5230.23291,5234.541174,5169.917209,5174.225474,48010000
9/30/2019,5230.23291,5230.23291,5174.225474,5230.23291,73391000
10/1/2019,5204.383789,5225.925113,5178.534201,5178.534201,40057000
10/2/2019,5212.999023,5230.232078,5178.532914,5178.532914,52376500
10/3/2019,5204.383789,5208.692054,5126.835024,5178.534201,50269000
10/4/2019,5208.692383,5225.925443,5152.684938,5152.684938,56890500
10/7/2019,5230.23291,5238.849439,5212.999853,5230.23291,56705500
10/8/2019,5256.083008,5256.083008,5182.842507,5238.849949,46997500
10/9/2019,5230.23291,5256.082496,5212.999853,5256.082496,41496500
10/10/2019,5264.699219,5264.699219,5187.150458,5187.150458,65806500
10/11/2019,5277.624512,5303.474101,5238.850128,5238.850128,40863500
10/14/2019,5342.248535,5342.248535,5281.932826,5281.932826,37514500
10/15/2019,5320.706055,5333.630847,5294.856471,5333.630847,40935000
10/16/2019,5355.172852,5355.172852,5320.706735,5342.248058,65776500
10/17/2019,5269.007813,5350.864843,5260.391283,5329.323519,45666500
10/18/2019,5307.780762,5316.397289,5290.547707,5307.780762,41008500
10/21/2019,5359.480957,5389.638808,5329.323106,5342.247899,59971500
10/22/2019,5428.413086,5428.413086,5363.789121,5402.5635,67259500
10/23/2019,5406.87207,5432.721658,5393.947277,5428.413393,62219000
10/24/2019,5428.413086,5445.646143,5402.5635,5419.796557,73101000
10/25/2019,5342.248535,5449.955159,5320.70721,5445.646894,61929500
10/28/2019,5346.556152,5385.330532,5342.247888,5342.247888,43249500
10/29/2019,5359.480957,5376.714015,5299.165255,5346.556164,79861500
10/30/2019,5398.255859,5415.488919,5342.248416,5411.180654,60738000
10/31/2019,5419.797363,5428.413893,5385.331243,5402.564303,58420500
11/1/2019,5449.955078,5449.955078,5406.872429,5428.413754,42080500
11/4/2019,5406.87207,5497.345627,5393.947277,5471.496039,43794500
11/5/2019,5480.113281,5480.113281,5402.564508,5471.496751,66161500
11/6/2019,5424.105469,5497.345972,5424.105469,5497.345972,63393000
11/7/2019,5415.487793,5458.570433,5385.329945,5458.570433,61972000
11/8/2019,5411.180176,5441.338027,5385.330589,5441.338027,90040500
11/11/2019,5424.105469,5462.879853,5398.25588,5458.571588,70207000
11/12/2019,5398.255859,5411.180654,5359.481476,5359.481476,47635500
11/13/2019,5411.180176,5415.48844,5398.255382,5398.255382,40083500
11/14/2019,5402.563965,5411.180494,5350.864788,5398.2557,37862000
11/15/2019,5406.87207,5419.796864,5389.639012,5411.180335,47138000
11/18/2019,5411.180176,5415.48844,5350.864473,5381.022324,65599000
11/19/2019,5441.338379,5471.496232,5428.413585,5454.263173,60115000
11/20/2019,5471.495605,5471.495605,5389.638585,5389.638585,43229500
11/21/2019,5428.413086,5471.495729,5428.413086,5471.495729,57523500
11/22/2019,5432.721191,5437.029456,5402.563342,5411.17987,56035000
11/25/2019,5406.87207,5458.571245,5406.87207,5454.262981,55133500
11/26/2019,5415.487793,5454.262169,5402.563001,5454.262169,192783500
11/27/2019,5428.413086,5428.413086,5376.713914,5402.5635,58833500
11/28/2019,5385.331543,5424.10593,5381.023278,5424.10593,44248000
11/29/2019,5411.180176,5424.104969,5363.789267,5368.097531,52954500
12/2/2019,5536.120117,5536.120117,5402.563912,5411.180441,49909000
12/3/2019,5493.037598,5531.811981,5467.188009,5531.811981,42823000
12/4/2019,5484.420898,5514.578751,5475.804369,5480.112634,37552000
12/5/2019,5462.878906,5501.653283,5454.262378,5480.111963,54168000
12/6/2019,5527.708496,5527.708496,5462.880015,5480.16761,69920500
12/9/2019,5527.708496,5527.708496,5497.455205,5506.099002,51667500
12/10/2019,5501.776855,5532.030145,5497.454957,5527.708247,57654000
12/11/2019,5514.742676,5519.064574,5488.811284,5501.77698,48469000
12/12/2019,5480.166504,5536.351176,5480.166504,5532.029278,79198500
12/13/2019,5497.454102,5549.316876,5488.810306,5527.707387,70822500
12/16/2019,5497.454102,5527.707387,5480.16651,5480.16651,78684000
12/17/2019,5618.467773,5618.467773,5501.77652,5527.707909,102914500
12/18/2019,5838.885742,5877.782834,5566.606096,5618.468886,181804000
12/19/2019,5704.905762,5808.631321,5696.261965,5791.343728,74171000
12/20/2019,5756.768066,5825.918434,5713.549087,5774.055658,99453000
12/23/2019,5756.768066,5817.274638,5748.124271,5774.055658,46558500
12/26/2019,5774.056152,5812.953237,5756.768559,5756.768559,38188500
12/27/2019,5787.021484,5791.343382,5765.411994,5765.411994,29945000
12/30/2019,5778.37793,5808.631217,5765.412235,5774.056031,61168000
1/2/2020,5782.700195,5860.494368,5774.056398,5787.022094,49445000
1/3/2020,5877.781738,5877.781738,5812.953263,5834.562755,47755500
1/6/2020,5821.597656,5834.563353,5782.700567,5808.63196,27300000
1/7/2020,5825.919434,5851.850826,5817.275636,5821.597535,45022500
1/8/2020,5774.056152,5830.24083,5765.412356,5765.412356,53692500
1/9/2020,5825.919434,5838.88513,5817.275636,5825.919434,40363500
1/10/2020,5812.954102,5899.392081,5799.988405,5847.529293,73362000
1/13/2020,5830.241211,5843.206907,5821.597414,5825.919312,67855000
1/14/2020,5938.288574,5951.25427,5825.919213,5830.241111,93582000
1/15/2020,5908.035156,6102.520586,5877.781867,5938.288445,75623500
1/16/2020,5921.000488,5955.575674,5873.459608,5882.103405,88931500
1/17/2020,5942.609375,5955.575068,5877.780909,5912.356091,38249500
1/20/2020,5908.035156,6029.048312,5903.713258,6007.43882,93554500
1/21/2020,5903.713379,5959.89806,5899.39148,5951.254263,103984500
1/22/2020,5912.356934,5959.897815,5908.035035,5925.322629,94311500
1/23/2020,5912.356934,5959.897815,5903.713137,5951.254019,87728000
1/24/2020,5886.425781,5946.93236,5886.425781,5895.069578,69653500
1/27/2020,5912.356934,5998.7949,5890.747442,5933.966425,39679000
1/28/2020,5869.136719,5916.677591,5838.883437,5908.033796,82615000
1/29/2020,5864.816895,5916.679682,5851.851198,5877.782591,43821000
1/30/2020,5825.919434,5916.679306,5817.275636,5916.679306,71990000
1/31/2020,5601.179688,5882.103051,5601.179688,5877.781154,163136500
2/3/2020,5566.605957,5691.941029,5506.099371,5601.181149,149797000
2/4/2020,5704.905762,5722.193355,5635.755389,5678.974372,113316500
2/5/2020,5817.275391,5860.494376,5748.125015,5860.494376,123002500
2/6/2020,5825.919434,5860.494623,5774.056649,5825.919434,154693500
2/7/2020,5843.205566,5860.493157,5795.664693,5799.98659,82609000
2/10/2020,5864.816895,5864.816895,5730.838027,5843.2074,66578500
2/11/2020,5860.493652,5864.81555,5830.240367,5864.81555,77526500
2/12/2020,5877.781738,5877.781738,5843.206552,5877.781738,69971500
2/13/2020,5869.136719,5895.068103,5825.917744,5895.068103,49737000
2/14/2020,5774.056152,5873.459814,5769.734254,5860.494119,147028500
2/17/2020,5808.631836,5834.563228,5774.056646,5774.056646,115319000
2/18/2020,5787.021484,5808.630975,5765.411994,5778.377688,98436500
2/19/2020,5787.021484,5843.206159,5761.090096,5761.090096,74594000
2/20/2020,5700.584473,5787.022448,5674.65308,5782.700549,136724500
2/21/2020,5717.87207,5756.769159,5700.584475,5704.906374,98261000
2/24/2020,5640.077637,5704.906115,5627.111941,5674.652825,84910000
2/25/2020,5644.399414,5670.330805,5627.11182,5661.687008,86446500
2/26/2020,5549.317871,5648.72154,5549.317871,5618.46825,92824500
2/27/2020,5436.949219,5596.85949,5359.155033,5592.537591,129254500
2/28/2020,5436.949219,5436.949219,5216.532359,5359.155033,169946500
3/2/2020,5255.428711,5436.948453,5216.531623,5436.948453,144871500
3/3/2020,5462.878906,5488.810293,5359.153357,5359.153357,114663500
3/4/2020,5566.605957,5618.468745,5411.017592,5458.558481,83025000
3/5/2020,5562.282715,5653.042573,5480.166653,5653.042573,77583000
3/6/2020,5359.153809,5488.810756,5359.153809,5488.810756,77835500
3/9/2020,5000.436035,5220.852835,5000.436035,5186.277651,140889500
3/10/2020,5121.44873,5194.920991,5047.97647,5047.97647,133667000
3/11/2020,5056.621582,5168.990951,5004.758797,5143.059558,93204500
3/12/2020,4805.951172,4875.101548,4719.513201,4840.52636,129845500
3/13/2020,4805.951172,4805.951172,4805.951172,4805.951172,0
3/16/2020,4805.951172,4805.951172,4805.951172,4805.951172,0
3/17/2020,4425.624512,4758.41073,4425.624512,4749.766932,212200000
3/18/2020,4321.897949,4650.362193,4118.768746,4425.6235,180053500
3/19/2020,4019.365967,4317.57699,4019.365967,4317.57699,264419000
3/20/2020,4092.837646,4654.684419,3738.44199,3976.146394,335132000
3/23/2020,3829.201904,4321.898312,3807.592413,4114.447193,217843500
3/24/2020,3889.708252,4317.57616,3846.489271,3846.489271,253971000
3/26/2020,4563.923828,4663.327472,4019.364735,4019.364735,331633000
3/27/2020,4762.73291,5095.519148,4628.754035,4633.075934,269683000
3/30/2020,4749.766113,4801.628892,4455.877036,4736.800419,159964500
3/31/2020,4775.698242,4935.6085,4741.123051,4892.389511,182638500
4/1/2020,4736.800293,4970.182789,4689.259414,4805.950662,152831500
4/2/2020,4676.294922,4728.157712,4633.07593,4728.157712,136623500
4/3/2020,4749.766113,4780.019401,4637.39676,4719.512826,110506000
4/6/2020,4957.217285,4961.539183,4749.766169,4771.375661,78184000
4/7/2020,4888.067383,5272.716363,4823.238903,4957.217761,149153500
4/8/2020,4870.780273,4892.389769,4736.801402,4888.06787,106111500
4/9/2020,4836.204102,4922.642066,4754.088035,4840.526,89997000
4/13/2020,4754.088867,4853.492544,4736.801271,4788.664059,58043000
4/14/2020,4767.054688,4831.883174,4706.5481,4758.410889,95796000
4/15/2020,4741.122559,4866.457613,4706.547371,4767.053949,95342000
4/16/2020,4529.350098,4771.376439,4481.809209,4741.123146,176990500
4/17/2020,4689.259766,4706.547359,4563.924712,4581.212306,160935500
4/20/2020,4628.753906,4754.088979,4607.144411,4693.582392,90744000
4/21/2020,4537.304199,4708.77209,4537.304199,4708.77209,73431000
4/22/2020,4524.113281,4603.252289,4436.18105,4537.303116,107263500
4/23/2020,4502.130859,4612.046164,4502.130859,4554.890205,105419500
4/24/2020,4326.266113,4519.717037,4326.266113,4502.130589,131149500
4/27/2020,4361.438965,4414.198307,4269.110116,4343.852517,151103500
4/28/2020,4247.127441,4374.629197,4225.14438,4361.43936,180488000
4/29/2020,4264.714355,4264.714355,4220.748228,4242.731292,121161000
4/30/2020,4546.09668,4616.44247,4291.093191,4291.093191,174081000
5/4/2020,4590.062988,4660.408781,4396.612058,4528.510419,114497500
5/5/2020,4647.219238,4695.581974,4572.476829,4590.063278,118643500
5/6/2020,4708.771973,4721.96181,4660.409235,4673.599073,86395500
5/8/2020,4612.045898,4748.340868,4528.510272,4699.978137,123028000
5/11/2020,4656.012207,4682.39188,4612.046086,4612.046086,40615500
5/12/2020,4590.062988,4695.581678,4422.99173,4695.581678,118660000
5/13/2020,4493.338379,4546.097734,4471.355314,4537.304508,94973000
5/14/2020,4326.266113,4493.337366,4313.076278,4458.16447,131268000
5/15/2020,4207.557129,4392.214809,4115.228289,4326.265637,205790000
5/18/2020,4189.972656,4260.318472,4176.782816,4220.748951,139997500
5/19/2020,4115.228516,4361.438769,4115.228516,4255.920089,128504500
5/20/2020,4189.972656,4220.748951,4124.023454,4150.403135,119158000
5/26/2020,4370.23291,4396.612586,4198.765019,4198.765019,176076500
5/27/2020,4365.835938,4396.612223,4269.110469,4370.23255,151753500
5/28/2020,4656.012207,4677.995267,4396.612094,4396.612094,229233000
5/29/2020,4563.683594,4656.012453,4563.683594,4656.012453,399414000
6/2/2020,4713.16748,4836.272601,4607.648806,4625.235251,181369500
6/3/2020,5082.483887,5082.483887,4748.341347,4757.134572,279673500
6/4/2020,5091.276855,5267.141341,4924.205594,5082.483631,236158500
6/5/2020,5034.120605,5148.432514,4911.015473,5091.27656,88157500
6/8/2020,5188.002441,5209.985503,5060.500686,5060.500686,173557500
6/9/2020,5104.466309,5271.537557,5095.673085,5223.174827,100110000
6/10/2020,5100.069336,5157.225285,4919.808265,5100.069336,115382500
6/11/2020,4994.55127,5108.863182,4928.602089,5056.103838,85187500
6/12/2020,4985.758789,4994.552014,4818.687507,4994.552014,96044000
6/15/2020,4836.273926,5020.931657,4836.273926,4994.551982,100844500
6/16/2020,5064.896973,5095.673256,4906.618942,4906.618942,91518500
6/17/2020,5029.723633,5100.069418,4994.55074,5100.069418,79800000
6/18/2020,4911.015625,5047.310598,4911.015625,5029.72415,68032000
6/19/2020,4902.222168,4968.171345,4875.842497,4924.205227,110071000
6/22/2020,4871.446289,4976.964981,4862.653065,4919.809023,51590500
6/23/2020,4941.791992,4976.964889,4853.85975,4897.825871,69954000
6/24/2020,5016.53418,5064.896911,4959.378225,4968.171449,57333000
6/25/2020,5034.120605,5051.707053,4959.378203,5012.137546,51415000
6/26/2020,4963.774414,5064.896479,4959.377803,5029.723587,57467500
6/29/2020,4990.155273,5007.741724,4911.016247,4959.378985,48796500
6/30/2020,5007.741211,5047.31072,4976.964926,5012.137823,74474000
7/1/2020,5100.069336,5100.069336,4990.154049,5012.137106,63959000
7/2/2020,5161.622559,5161.622559,5064.897093,5078.086929,75585500
7/3/2020,5161.622559,5192.398843,5135.242886,5161.622559,52219000
7/6/2020,5218.77832,5218.77832,5144.035918,5152.829142,67800000
7/7/2020,5267.141602,5271.538214,5188.002579,5223.175478,74168000
7/8/2020,5451.798828,5508.954784,5258.347902,5267.141126,106444500
7/9/2020,5363.867676,5486.972836,5302.315096,5460.593158,93543500
7/10/2020,5451.798828,5486.971724,5346.280141,5363.866589,67224000
7/13/2020,5429.815918,5486.971875,5399.039633,5478.178651,86006000
7/14/2020,5451.798828,5451.798828,5372.659813,5429.815768,45616500
7/15/2020,5407.833496,5486.972523,5407.833496,5451.799622,61468000
7/16/2020,5434.212402,5451.79885,5399.039507,5407.83273,66520500
